trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1636,False,"{'a': 0.3, 'e': 0.19479295661996543}",20,6,25.508582718520636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1637,False,"{'a': 0.3, 'e': 0.19459816366334545}",25,0,11.467171489579036,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
1638,False,"{'a': 0.3, 'e': 0.19440356549968213}",25,0,33.24984491786524,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1639,False,"{'a': 0.3, 'e': 0.19420916193418244}",30,16,-70.06162299219616,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
1640,False,"{'a': 0.3, 'e': 0.19401495277224826}",35,23,-3.827408457138892,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1641,False,"{'a': 0.3, 'e': 0.193820937819476}",25,13,21.082832531524136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1642,False,"{'a': 0.3, 'e': 0.19362711688165654}",20,0,-28.038542532716303,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1643,False,"{'a': 0.3, 'e': 0.19343348976477487}",25,20,11.538552732533578,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1644,False,"{'a': 0.3, 'e': 0.1932400562750101}",25,11,13.396107151889849,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1645,False,"{'a': 0.3, 'e': 0.1930468162187351}",20,10,19.995820160492592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1646,False,"{'a': 0.3, 'e': 0.19285376940251636}",20,16,7.884951965303463,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1647,False,"{'a': 0.3, 'e': 0.19266091563311383}",25,11,10.531216586664108,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1648,False,"{'a': 0.3, 'e': 0.19246825471748072}",30,19,8.252634718693443,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1649,False,"{'a': 0.3, 'e': 0.19227578646276325}",25,18,14.950878792680243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1650,False,"{'a': 0.3, 'e': 0.19208351067630047}",25,14,-0.4887560482937794,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
